,ds,dd,cs,cd,acc_knn
filter 1,0.3698 / 0.4052,1.0701 / 1.0661,0.2717 / 0.2918,0.9546 / 0.9488,0.7144 / 0.7578
filter 2,0.4812 / 0.4893,1.0577 / 1.0568,0.3524 / 0.3536,0.8889 / 0.8878,0.6960 / 0.6816
filter 3,0.5024 / 0.9913,1.0553 / 1.0010,0.3714 / 0.7064,0.8888 / 0.1138,0.6978 / 0.2986
filter 4,0.4162 / 1.0003,1.0649 / 1.0000,0.2992 / 0.7222,0.9375 / 0.0323,0.6936 / 0.2690
filter 5,0.3514 / 0.3352,1.0721 / 1.0739,0.2563 / 0.2453,0.9913 / 0.9906,0.7658 / 0.7568
filter 6,0.4769 / 0.3038,1.0581 / 1.0774,0.3494 / 0.2184,0.8998 / 1.0044,0.6982 / 0.7624
filter 7,0.4869 / 0.5378,1.0570 / 1.0514,0.3545 / 0.3946,0.8674 / 0.8323,0.6756 / 0.6348
filter 8,0.5598 / 0.8257,1.0489 / 1.0194,0.4134 / 0.6523,0.8421 / 0.5345,0.6744 / 0.3618
filter 9,0.4940 / 0.9999,1.0562 / 1.0000,0.3639 / 0.7214,0.8914 / 0.0486,0.6700 / 0.2740
filter 10,0.4605 / 0.3935,1.0600 / 1.0674,0.3337 / 0.2856,0.8934 / 0.9619,0.7012 / 0.7526
filter 11,0.4727 / 0.5849,1.0586 / 1.0461,0.3525 / 0.4383,0.9189 / 0.8520,0.7118 / 0.6840
filter 12,0.6188 / 0.9937,1.0424 / 1.0007,0.4627 / 0.7066,0.7985 / 0.1411,0.6734 / 0.2878
filter 13,0.6530 / 0.6921,1.0386 / 1.0342,0.4908 / 0.5553,0.7295 / 0.6328,0.6484 / 0.5086
filter 14,0.5699 / 0.9997,1.0478 / 1.0000,0.4244 / 0.7212,0.8216 / 0.0562,0.6620 / 0.2810
filter 15,0.4351 / 0.3349,1.0628 / 1.0739,0.3201 / 0.2423,0.9299 / 0.9879,0.7588 / 0.7664
filter 16,0.6159 / 0.7995,1.0427 / 1.0223,0.4639 / 0.6455,0.7569 / 0.6178,0.7032 / 0.5664
